edition,fy,group,product,drug_name,yakko_class,unit,sheet,total_qty
1,2014,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 入院,5923.389999999999
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 入院,2290.0
1,2014,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 入院,1827.1770000000004
1,2014,IFN_conv,interferon_conventional,フエロン注射用６００万　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,1421.0
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,1144.028
1,2014,IFN_conv,interferon_conventional,フエロン注射用１００万　１００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用１５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
1,2014,IFN_conv,interferon_conventional,オーアイエフ注射用５００万ＩＵ　５００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
1,2014,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),6976700.0
2,2015,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),3544991.0
2,2015,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),2895733.5
2,2015,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),2809278.75
2,2015,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,,内服薬 外来 (院外),1972174.0
2,2015,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),1407653.0
2,2015,PI_ifn,vaniprevir,バニヘップカプセル１５０ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),122194.0
2,2015,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,,内服薬 外来 (院外),99795.0
2,2015,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),2273832.0
2,2015,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),1155180.0
2,2015,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),1150711.0
2,2015,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),1030486.75
2,2015,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,,内服薬 外来 (院内),932501.0
2,2015,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),590824.0
2,2015,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,,内服薬 外来 (院内),75464.0
2,2015,PI_ifn,vaniprevir,バニヘップカプセル１５０ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),35996.0
2,2015,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 入院,127379.0
2,2015,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 入院,105760.0
2,2015,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,,内服薬 入院,105423.0
2,2015,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 入院,87261.33
2,2015,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,,内服薬 入院,69044.0
2,2015,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 入院,53507.0
2,2015,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,,内服薬 入院,12013.0
2,2015,PI_ifn,vaniprevir,バニヘップカプセル１５０ｍｇ,抗ウイルス剤,,内服薬 入院,9773.0
2,2015,PI_ifn,simeprevir,ソブリアードカプセル１００ｍｇ,抗ウイルス剤,,内服薬 入院,3529.0
2,2015,PI_ifn,telaprevir,テラビック錠２５０ｍｇ,抗ウイルス剤,,内服薬 入院,1630.0
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),59524.333
2,2015,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),41951.64899999999
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用１００μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),40447.157
